dimension,k,r,model_volume,euclidean_volume_same_dim,ratio_to_euclidean
2,0.0,1.6930379746835444,9.004990759430969,9.004990759430969,1.0
2,0.0,1.7208860759493674,9.303666065484641,9.303666065484641,1.0
2,0.0,1.74873417721519,9.607214086950385,9.607214086950385,1.0
2,0.0,1.7765822784810128,9.915634823828205,9.915634823828205,1.0
2,0.0,1.8044303797468357,10.228928276118097,10.228928276118097,1.0
2,0.0,1.8322784810126584,10.547094443820063,10.547094443820063,1.0
2,0.0,1.8601265822784812,10.870133326934099,10.870133326934099,1.0
2,0.0,1.887974683544304,11.198044925460213,11.198044925460213,1.0
2,0.0,1.9158227848101268,11.530829239398397,11.530829239398397,1.0
2,0.0,1.9436708860759495,11.868486268748654,11.868486268748654,1.0
2,0.0,1.9715189873417724,12.211016013510989,12.211016013510989,1.0
2,0.0,1.9993670886075952,12.558418473685391,12.558418473685391,1.0
2,0.0,2.027215189873418,12.910693649271868,12.910693649271868,1.0
2,0.0,2.0550632911392404,13.267841540270416,13.267841540270416,1.0
2,0.0,2.0829113924050633,13.629862146681042,13.629862146681042,1.0
2,0.0,2.1107594936708862,13.99675546850374,13.99675546850374,1.0
2,0.0,2.1386075949367087,14.368521505738508,14.368521505738508,1.0
2,0.0,2.1664556962025316,14.745160258385356,14.745160258385356,1.0
2,0.0,2.1943037974683546,15.126671726444274,15.126671726444274,1.0
2,0.0,2.222151898734177,15.513055909915261,15.513055909915261,1.0
2,0.0,2.25,15.904312808798327,15.904312808798327,1.0
2,1.0,0.05,0.00785234552331266,0.007853981633974483,0.9997916839205805
2,1.0,0.07784810126582278,0.01902946505940063,0.019039078375324456,0.9994950745128353
2,1.0,0.10569620253164558,0.03506422838689691,0.0350968905287477,0.9990693722048103
2,1.0,0.13354430379746834,0.055944201075628315,0.05602741809424417,0.9985147090220029
2,1.0,0.16139240506329117,0.08165319139534928,0.08183066107181396,0.9978312569623636
2,1.0,0.18924050632911393,0.11217126287189783,0.11250661946145697,0.9970192279248598
