cross_ratio_abs_minus_one,cross_ratio_imag,cross_ratio_real,expected_angle_degrees,laguerre_angle_degrees,line_l_degrees,line_m_degrees,mod_pi_error
1.1102230246251565e-16,0.7431448254773946,-0.6691306063588578,65.99999999999999,65.99999999999999,17.0,82.99999999999999,0.0
0.0,0.7071067811865477,-0.7071067811865475,67.5,67.5,17.0,84.5,0.0
0.0,0.6691306063588585,-0.743144825477394,69.0,69.0,17.0,86.0,0.0
0.0,0.6293203910498377,-0.7771459614569707,70.49999999999999,70.49999999999999,17.0,87.49999999999999,0.0
0.0,0.5877852522924732,-0.8090169943749473,72.0,72.0,17.0,89.0,0.0
0.0,0.5446390350150274,-0.8386705679454239,73.5,73.5,17.0,90.5,0.0
0.0,0.5000000000000004,-0.8660254037844385,74.99999999999999,74.99999999999999,17.0,91.99999999999999,0.0
0.0,0.4539904997395469,-0.8910065241883678,76.5,76.5,17.0,93.5,0.0
0.0,0.4067366430758005,-0.9135454576426008,78.0,78.0,17.0,95.0,0.0
1.1102230246251565e-16,0.35836794954530077,-0.9335804264972015,79.49999999999999,79.49999999999999,17.0,96.49999999999999,0.0
0.0,0.3090169943749477,-0.9510565162951535,81.0,81.0,17.0,98.0,0.0
0.0,0.2588190451025211,-0.9659258262890682,82.5,82.5,17.0,99.5,0.0
1.1102230246251565e-16,0.20791169081775981,-0.9781476007338055,83.99999999999999,83.99999999999999,17.0,100.99999999999999,0.0
1.1102230246251565e-16,0.15643446504023106,-0.9876883405951377,85.5,85.5,17.0,102.5,0.0
0.0,0.10452846326765373,-0.9945218953682733,87.0,87.0,17.0,104.0,0.0
1.1102230246251565e-16,0.05233595624294438,-0.9986295347545738,88.49999999999999,88.49999999999999,17.0,105.49999999999999,0.0
0.0,1.1102230246251565e-16,-1.0,90.0,90.0,17.0,107.0,0.0
0.0,-0.052335956242943384,-0.9986295347545739,91.5,91.49999999999999,17.0,108.5,2.220446049250313e-16
